metric,value,evidence_class,measured_in_this_system
Mode_B_peak_T_K,29.387492621221455,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
Mode_B_peak_surface_T_K,29.387492621221455,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
Mode_B_peak_NV_layer_T_K,29.387492621221455,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
Mode_B_peak_contamination_flux_proxy_m3,5.6626593847171016e+16,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
Mode_C_recool_time_s,0.0016806722689075631,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
Mode_C_cleanup_residual_CH4_m3,0.0,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
Mode_C_surface_decay_time_s,1.1794871794871795,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
Mode_D_T_NV_layer_K,0.01,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
Mode_D_residual_CH4_density_m3,0.0,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
Mode_D_residual_H2_density_m3,259719665281.75375,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
Mode_D_residual_surface_theta,1.6862138138712673e-10,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
Mode_D_readiness_status,FORECAST_NOT_READY,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
limiting_recovery_process,surface_decay_s,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
thermal_solver_status_B,ok,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
thermal_solver_status_C,ok,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
