cycle,phase,panel_id,species,sticking,sticking_provenance,N_per_m2,monolayer_fraction,capacity_basis,admitted_per_m2,label
1,MODE_B,PANEL-H2,H2,1.000e-02,ASSUMED (cryopanel_memory_model.csv PANEL-H2),6.144000000e+03,6.144000000e-16,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),5.356831538e+05,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
1,MODE_B,PANEL-CH4,C13_CH4,5.500e-01,ASSUMED midpoint of CSV 0.3-0.8 (PANEL-CH4); PLACEHOLDER midpoint choice,1.013548775e+13,1.013548775e-06,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),1.842816889e+13,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
1,MODE_B,PANEL-He(no-capture),He,0.000e+00,ASSUMED zero: He not cryopumped at 4 K panels; charcoal sorb NOT INSTALLED (E03),0.000000000e+00,0.000000000e+00,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),0.000000000e+00,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
1,MODE_C,PANEL-H2,H2,1.000e-02,ASSUMED (cryopanel_memory_model.csv PANEL-H2),2.142801920e+08,2.142801920e-11,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),2.142786183e+10,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
1,MODE_C,PANEL-CH4,C13_CH4,5.500e-01,ASSUMED midpoint of CSV 0.3-0.8 (PANEL-CH4); PLACEHOLDER midpoint choice,1.013548775e+13,1.013548775e-06,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),1.842816889e+13,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
1,MODE_C,PANEL-He(no-capture),He,0.000e+00,ASSUMED zero: He not cryopumped at 4 K panels; charcoal sorb NOT INSTALLED (E03),0.000000000e+00,0.000000000e+00,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),0.000000000e+00,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
1,MODE_D,PANEL-H2,H2,1.000e-02,ASSUMED (cryopanel_memory_model.csv PANEL-H2),1.285646336e+09,1.285646336e-10,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),1.285644926e+11,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
1,MODE_D,PANEL-CH4,C13_CH4,5.500e-01,ASSUMED midpoint of CSV 0.3-0.8 (PANEL-CH4); PLACEHOLDER midpoint choice,1.013548775e+13,1.013548775e-06,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),1.842816889e+13,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
1,MODE_D,PANEL-He(no-capture),He,0.000e+00,ASSUMED zero: He not cryopumped at 4 K panels; charcoal sorb NOT INSTALLED (E03),0.000000000e+00,0.000000000e+00,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),8.759263270e+16,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
2,MODE_B,PANEL-H2,H2,1.000e-02,ASSUMED (cryopanel_memory_model.csv PANEL-H2),1.285652480e+09,1.285652480e-10,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),1.285650283e+11,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
2,MODE_B,PANEL-CH4,C13_CH4,5.500e-01,ASSUMED midpoint of CSV 0.3-0.8 (PANEL-CH4); PLACEHOLDER midpoint choice,2.027096523e+13,2.027096523e-06,N_ML_cap=1 monolayer x sites=1.0e+19/m2 (PLACEHOLDER worst case; capacity unmeasured),3.685633778e+13,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
