tau_c,he3_he4_contrast,nv_contrast_10mK,thermal_recovery_time,mode_isolation_leak
1.6096532715e-05,5.2336351607e-01,1.2282688808e-01,2.9088640270e-07,5.1399779476e-04
1.5852792939e-05,5.1822620104e-01,1.3172105000e-01,2.8186301549e-07,5.1403774622e-04
2.6873842911e-04,5.1202878696e-01,2.4342843643e-01,2.4757600971e-07,2.6968407272e-04
1.5911695993e-05,5.1552831916e-01,1.2139596413e-01,3.0503788232e-07,5.1534033902e-04
5.2653528455e-05,5.1137494213e-01,2.0060145749e-01,2.5560894381e-07,2.7743229489e-04
8.8932101889e-05,5.0979733445e-01,1.6134980620e-01,2.5590635951e-07,2.6492968321e-04
1.6857749207e-05,5.2027052432e-01,1.1110809768e-01,3.1638489204e-07,5.1132382348e-04
1.6585789266e-05,5.2239672978e-01,1.2482463714e-01,3.1602519438e-07,5.1412210335e-04
1.5982626429e-05,5.1710449228e-01,1.2236165708e-01,3.0837782663e-07,5.1736416933e-04
1.5733407153e-05,5.1578167132e-01,1.2768045589e-01,3.0652282838e-07,5.1587520550e-04
1.0311880867e-04,5.0974145324e-01,1.7437677402e-01,2.5117732501e-07,2.8027545510e-04
5.2080968499e-05,5.1266688703e-01,2.4334076178e-01,2.5289191314e-07,2.8411474065e-04
1.6095945065e-05,5.1485296013e-01,1.2381705331e-01,3.0852261398e-07,5.1502709017e-04
1.5449888444e-05,5.1809563236e-01,1.0942167447e-01,3.1826485806e-07,5.1104634553e-04
1.7498207091e-05,5.1950811831e-01,1.2517412162e-01,3.2553538036e-07,5.2017089784e-04
1.5988425503e-05,5.2266089936e-01,1.3079633520e-01,3.1652337417e-07,5.1178035455e-04
5.5960612222e-05,5.1392247073e-01,2.0907508776e-01,2.5056014086e-07,2.6501218964e-04
2.0832060090e-04,5.0870738771e-01,2.1046156659e-01,2.5162330181e-07,2.7311462891e-04
1.5959143229e-05,5.2116504272e-01,1.2678184838e-01,3.2531558894e-07,5.1557950513e-04
9.5990865656e-05,5.5301566686e-01,4.1733919109e-02,3.9177582425e-07,6.0123695402e-04
1.6950698983e-05,5.2187430832e-01,1.1722386246e-01,3.2271870780e-07,5.1172502518e-04
2.9786941335e-05,5.1026763390e-01,2.1168877531e-01,2.5868253603e-07,2.7828382566e-04
1.8544463801e-04,5.5068658448e-01,-6.2514341157e-04,3.9919456857e-07,6.2202203136e-04
1.8172745900e-04,5.1252795272e-01,2.7129721966e-01,2.4972941522e-07,2.6995598516e-04
9.8113744276e-05,5.1115464168e-01,2.2585441554e-01,2.5564617333e-07,2.6864106886e-04
