step,nll
1,7.1700274506e+00
10,5.6553708696e+00
20,3.5696162591e+00
30,1.9732000749e+00
40,9.0761036820e-01
50,1.7493585819e-01
60,-1.4636155099e-01
70,-8.3330620104e-01
80,-1.1589517571e+00
90,-1.7781458976e+00
100,-1.7075492596e+00
110,-2.0607818027e+00
120,-2.3049974095e+00
130,-2.6674167714e+00
140,-2.9821836232e+00
150,-1.8447837952e+00
160,-3.0936380214e+00
170,-3.3758759743e+00
180,-2.9276524394e+00
190,-3.2203008706e+00
200,-3.1428290955e+00
210,-3.8192167091e+00
220,-1.1865716611e+00
230,-3.8231061881e+00
240,-3.9110568159e+00
250,-4.2319615226e+00
260,-3.0333259071e+00
270,-4.4670057790e+00
280,-3.9879693000e+00
290,-4.6170052638e+00
300,-2.3428443921e+00
310,-3.1648801952e+00
320,-3.9102023367e+00
330,-4.4584241476e+00
340,-5.0819065505e+00
350,-4.6611037852e+00
360,-5.0389568865e+00
370,-5.3128445833e+00
380,-4.6290871198e+00
390,-5.0138200382e+00
400,-5.5218769288e+00
410,8.9519613104e+00
420,-3.0586521109e+00
430,-3.4682528810e+00
440,-4.2496251564e+00
450,-4.8795892191e+00
460,-3.9864645816e+00
470,-4.1220323306e+00
480,-4.6585446980e+00
490,-9.8973429506e-01
500,-4.5706627861e+00
510,-5.1222613238e+00
520,-5.4971875380e+00
530,-4.7769471069e+00
540,-5.4425560506e+00
550,-5.8942820727e+00
560,-2.0803707407e+00
570,-5.0924861617e+00
580,-4.7828411848e+00
590,-5.3883888145e+00
600,-6.0155729185e+00
610,-6.5352053405e+00
620,-5.1497737360e+00
630,-5.3000414017e+00
640,-5.7192573460e+00
650,-5.1795934587e+00
660,-5.7613923504e+00
670,-6.3911277796e+00
680,-6.3525301826e+00
690,-6.1853783530e+00
700,-6.3563684951e+00
710,-5.7515335895e+00
720,-5.9315144894e+00
730,-6.3270781494e+00
740,-5.7002720336e+00
750,-6.3853277172e+00
760,-6.8568529179e+00
770,-6.8326889065e+00
780,-6.7591336484e+00
790,-7.2733459663e+00
800,-4.0830366187e+00
