slice,coord_m,Tpeak_K
axis_r0_depth,4.166666667e-07,1.356478796e+01
axis_r0_depth,1.250000000e-06,1.316036076e+01
axis_r0_depth,2.083333333e-06,1.264147831e+01
axis_r0_depth,2.916666667e-06,1.211456589e+01
axis_r0_depth,3.750000000e-06,1.161994590e+01
axis_r0_depth,4.583333333e-06,1.117022692e+01
axis_r0_depth,5.416666667e-06,1.076614779e+01
axis_r0_depth,6.250000000e-06,1.040375784e+01
axis_r0_depth,7.083333333e-06,1.007771031e+01
axis_r0_depth,7.916666667e-06,9.782697342e+00
axis_r0_depth,8.750000000e-06,9.513994749e+00
axis_r0_depth,9.583333333e-06,9.267597802e+00
axis_r0_depth,1.041666667e-05,9.040185668e+00
axis_r0_depth,1.125000000e-05,8.829026932e+00
axis_r0_depth,1.208333333e-05,8.631875879e+00
axis_r0_depth,1.291666667e-05,8.446878822e+00
axis_r0_depth,1.375000000e-05,8.272496000e+00
axis_r0_depth,1.458333333e-05,8.107438830e+00
axis_r0_depth,1.541666667e-05,7.950620331e+00
axis_r0_depth,1.625000000e-05,7.801116192e+00
axis_r0_depth,1.708333333e-05,7.658134157e+00
axis_r0_depth,1.791666667e-05,7.520989857e+00
axis_r0_depth,1.875000000e-05,7.389087591e+00
axis_r0_depth,1.958333333e-05,7.261904926e+00
axis_r0_depth,2.041666667e-05,7.138980251e+00
axis_r0_depth,2.125000000e-05,7.019902614e+00
axis_r0_depth,2.208333333e-05,6.904303353e+00
axis_r0_depth,2.291666667e-05,6.791849130e+00
axis_r0_depth,2.375000000e-05,6.682236069e+00
axis_r0_depth,2.458333333e-05,6.575184759e+00
axis_r0_depth,2.541666667e-05,6.470435948e+00
axis_r0_depth,2.625000000e-05,6.367746770e+00
axis_r0_depth,2.708333333e-05,6.266887384e+00
axis_r0_depth,2.791666667e-05,6.167637918e+00
axis_r0_depth,2.875000000e-05,6.069785641e+00
axis_r0_depth,2.958333333e-05,5.973122264e+00
axis_r0_depth,3.041666667e-05,5.877441306e+00
axis_r0_depth,3.125000000e-05,5.782535445e+00
axis_r0_depth,3.208333333e-05,5.688193767e+00
axis_r0_depth,3.291666667e-05,5.594198836e+00
axis_r0_depth,3.375000000e-05,5.500323460e+00
axis_r0_depth,3.458333333e-05,5.406327041e+00
axis_r0_depth,3.541666667e-05,5.311951331e+00
axis_r0_depth,3.625000000e-05,5.216915388e+00
axis_r0_depth,3.708333333e-05,5.120909424e+00
axis_r0_depth,3.791666667e-05,5.023587166e+00
axis_r0_depth,3.875000000e-05,4.924556135e+00
axis_r0_depth,3.958333333e-05,4.823365042e+00
surface_z0_radial,5.000000000e-07,1.356478796e+01
surface_z0_radial,1.500000000e-06,1.334282435e+01
surface_z0_radial,2.500000000e-06,1.293400093e+01
surface_z0_radial,3.500000000e-06,1.239960145e+01
surface_z0_radial,4.500000000e-06,1.181098302e+01
surface_z0_radial,5.500000000e-06,1.123091241e+01
surface_z0_radial,6.500000000e-06,1.069984534e+01
surface_z0_radial,7.500000000e-06,1.023321518e+01
surface_z0_radial,8.500000000e-06,9.828641371e+00
surface_z0_radial,9.500000000e-06,9.475961785e+00
surface_z0_radial,1.050000000e-05,9.164176281e+00
surface_z0_radial,1.150000000e-05,8.884236008e+00
surface_z0_radial,1.250000000e-05,8.629367615e+00
surface_z0_radial,1.350000000e-05,8.394582161e+00
surface_z0_radial,1.450000000e-05,8.176138659e+00
surface_z0_radial,1.550000000e-05,7.971153002e+00
surface_z0_radial,1.650000000e-05,7.777339688e+00
surface_z0_radial,1.750000000e-05,7.592841684e+00
surface_z0_radial,1.850000000e-05,7.416114876e+00
surface_z0_radial,1.950000000e-05,7.245846643e+00
surface_z0_radial,2.050000000e-05,7.080896278e+00
surface_z0_radial,2.150000000e-05,6.920249721e+00
surface_z0_radial,2.250000000e-05,6.762983717e+00
surface_z0_radial,2.350000000e-05,6.608236005e+00
surface_z0_radial,2.450000000e-05,6.455179062e+00
surface_z0_radial,2.550000000e-05,6.302995341e+00
surface_z0_radial,2.650000000e-05,6.150852067e+00
surface_z0_radial,2.750000000e-05,5.997873520e+00
surface_z0_radial,2.850000000e-05,5.843108172e+00
surface_z0_radial,2.950000000e-05,5.685487033e+00
surface_z0_radial,3.050000000e-05,5.523767615e+00
surface_z0_radial,3.150000000e-05,5.356454446e+00
surface_z0_radial,3.250000000e-05,5.181680395e+00
surface_z0_radial,3.350000000e-05,4.997019915e+00
surface_z0_radial,3.450000000e-05,4.799177185e+00
surface_z0_radial,3.550000000e-05,4.583426779e+00
surface_z0_radial,3.650000000e-05,4.342513658e+00
surface_z0_radial,3.750000000e-05,4.064195225e+00
surface_z0_radial,3.850000000e-05,3.724561139e+00
surface_z0_radial,3.950000000e-05,1.751735856e+00
