metric,value,evidence_class,measured_in_this_system
NV_layer_T_1d_K,29.405904455743986,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
max_T_1d_K,29.405904455743986,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
max_gradient_1d_K_per_m,492701.7918544639,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
pulse_peak_NV_1d_K,38.010164258782844,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
post_pulse_drift_1d_K,0.017962487297433945,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
NV_layer_mean_2d_K,6.0638070854306365,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
NV_layer_max_2d_K,13.708151104116787,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
hotspot_r_m,1.8761199748768313e-07,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
hotspot_z_m,9.993124647871412e-08,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
max_T_2d_K,13.708151104116787,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
max_radial_gradient_2d_K_per_m,2684391.4717770657,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
max_depth_gradient_2d_K_per_m,650482.2403587727,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
thermal_1d_solver_status,ok,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
thermal_2d_solver_status,ok,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
energy_balance_residual_1d_rel,0.006328958515250076,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
energy_balance_residual_2d_rel,0.02631574316191406,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
nv_depth_1d_m,2.39834991548914e-08,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
nv_T_initial_1d_K,0.01,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
nv_T_final_1d_K,29.405904455743986,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
mesh_1d_min_cell_m,4.796699830978254e-08,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
mesh_1d_max_cell_m,2.878019898586978e-07,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
mesh_2d_min_cell_volume_m3,8.840205870759952e-20,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
mesh_2d_max_cell_volume_m3,5.15894506572756e-16,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
value_units,temperatures_in_Kelvin,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
nv_temperature_interpretation,near-surface thermal hotspot temperature/rise above fridge base; NOT a deposition or growth rate,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
deposition_yield_status,UNKNOWN/BLOCKED: no LCVD methane-dissociation/sticking/carbon-incorporation/yield model; thermal field does not validate C13 deposition rate,FORECAST_ONLY;MODEL_ONLY;NOT_MEASURED_IN_THIS_SYSTEM,false
