z_m,z_left_face_m,z_right_face_m,cell_width_m,T_initial_K,T_final_K,T_peak_K,Q_laser_W_m3,Q_mw_W_m3,gradient_K_per_m,heat_flux_W_m2
2.398349915e-08,0.000000000e+00,4.796699831e-08,4.796699831e-08,1.000000000e-02,2.940590446e+01,2.940590446e+01,7.458396505e+12,0.000000000e+00,-7.034963755e+03,3.577630508e+05
7.195049746e-08,4.796699831e-08,9.593399662e-08,4.796699831e-08,1.000000000e-02,2.940556701e+01,2.940556701e+01,7.109084314e+12,0.000000000e+00,-1.038805449e+04,5.282662786e+05
1.199174958e-07,9.593399662e-08,1.439009949e-07,4.796699831e-08,1.000000000e-02,2.940490789e+01,2.940490789e+01,6.776132075e+12,0.000000000e+00,-1.693785877e+04,8.612871602e+05
1.678844941e-07,1.439009949e-07,1.918679932e-07,4.796699831e-08,1.000000000e-02,2.940394209e+01,2.940394209e+01,6.458773573e+12,0.000000000e+00,-2.318251362e+04,1.178710618e+06
2.158514924e-07,1.918679932e-07,2.398349915e-07,4.796699831e-08,1.000000000e-02,2.940268390e+01,2.940268390e+01,6.156278480e+12,0.000000000e+00,-2.913684240e+04,1.481267197e+06
2.638184907e-07,2.398349915e-07,2.878019899e-07,4.796699831e-08,1.000000000e-02,2.940114688e+01,2.940114688e+01,5.867950671e+12,0.000000000e+00,-3.481491676e+04,1.769653225e+06
3.117854890e-07,2.878019899e-07,3.357689882e-07,4.796699831e-08,1.000000000e-02,2.939934396e+01,2.939934396e+01,5.593126625e+12,0.000000000e+00,-4.023009760e+04,2.044532413e+06
3.597524873e-07,3.357689882e-07,3.837359865e-07,4.796699831e-08,1.000000000e-02,2.939728745e+01,2.939728745e+01,5.331173897e+12,0.000000000e+00,-4.539507368e+04,2.306537383e+06
4.077194856e-07,3.837359865e-07,4.317029848e-07,4.796699831e-08,1.000000000e-02,2.939498903e+01,2.939498903e+01,5.081489661e+12,0.000000000e+00,-5.032189779e+04,2.556271125e+06
4.556864839e-07,4.317029848e-07,4.796699831e-07,4.796699831e-08,1.000000000e-02,2.939245986e+01,2.939245986e+01,4.843499325e+12,0.000000000e+00,-5.502202085e+04,2.794308387e+06
5.036534823e-07,4.796699831e-07,5.276369814e-07,4.796699831e-08,1.000000000e-02,2.938971055e+01,2.938971055e+01,4.616655209e+12,0.000000000e+00,-5.950632390e+04,3.021196995e+06
5.516204806e-07,5.276369814e-07,5.756039797e-07,4.796699831e-08,1.000000000e-02,2.938675119e+01,2.938675119e+01,4.400435283e+12,0.000000000e+00,-6.378514827e+04,3.237459116e+06
5.995874789e-07,5.756039797e-07,6.235709780e-07,4.796699831e-08,1.000000000e-02,2.938359139e+01,2.938359139e+01,4.194341964e+12,0.000000000e+00,-6.786832396e+04,3.443592457e+06
6.475544772e-07,6.235709780e-07,6.715379763e-07,4.796699831e-08,1.000000000e-02,2.938024031e+01,2.938024031e+01,3.997900976e+12,0.000000000e+00,-7.176519643e+04,3.640071417e+06
6.955214755e-07,6.715379763e-07,7.195049746e-07,4.796699831e-08,1.000000000e-02,2.937670666e+01,2.937670666e+01,3.810660254e+12,0.000000000e+00,-7.548465176e+04,3.827348172e+06
7.434884738e-07,7.195049746e-07,7.674719730e-07,4.796699831e-08,1.000000000e-02,2.937299876e+01,2.937299876e+01,3.632188905e+12,0.000000000e+00,-7.903514052e+04,4.005853720e+06
7.914554721e-07,7.674719730e-07,8.154389713e-07,4.796699831e-08,1.000000000e-02,2.936912451e+01,2.936912451e+01,3.462076219e+12,0.000000000e+00,-8.242470014e+04,4.175998872e+06
8.394224704e-07,8.154389713e-07,8.634059696e-07,4.796699831e-08,1.000000000e-02,2.936509143e+01,2.936509143e+01,3.299930719e+12,0.000000000e+00,-8.566097618e+04,4.338175198e+06
8.873894687e-07,8.634059696e-07,9.113729679e-07,4.796699831e-08,1.000000000e-02,2.936090671e+01,2.936090671e+01,3.145379265e+12,0.000000000e+00,-8.875124228e+04,4.492755925e+06
9.353564670e-07,9.113729679e-07,9.593399662e-07,4.796699831e-08,1.000000000e-02,2.935657717e+01,2.935657717e+01,2.998066190e+12,0.000000000e+00,-9.170241911e+04,4.640096803e+06
9.833234654e-07,9.593399662e-07,1.007306965e-06,4.796699831e-08,1.000000000e-02,2.935210933e+01,2.935210933e+01,2.857652487e+12,0.000000000e+00,-9.452109226e+04,4.780536917e+06
1.031290464e-06,1.007306965e-06,1.055273963e-06,4.796699831e-08,1.000000000e-02,2.934750938e+01,2.934750938e+01,2.723815026e+12,0.000000000e+00,-9.721352910e+04,4.914399471e+06
1.079257462e-06,1.055273963e-06,1.103240961e-06,4.796699831e-08,1.000000000e-02,2.934278324e+01,2.934278324e+01,2.596245810e+12,0.000000000e+00,-9.978569482e+04,5.041992530e+06
1.127224460e-06,1.103240961e-06,1.151207959e-06,4.796699831e-08,1.000000000e-02,2.933793654e+01,2.933793654e+01,2.474651268e+12,0.000000000e+00,-1.022389906e+05,5.163393731e+06
1.175550107e-06,1.151207959e-06,1.199892254e-06,4.868429482e-08,1.000000000e-02,2.933293752e+01,2.933293752e+01,2.357905766e+12,0.000000000e+00,-1.045907922e+05,5.279467487e+06
1.225436505e-06,1.199892254e-06,1.250980756e-06,5.108850176e-08,1.000000000e-02,2.932766083e+01,2.932766083e+01,2.243164157e+12,0.000000000e+00,-1.069102582e+05,5.393636195e+06
1.277928290e-06,1.250980756e-06,1.304875825e-06,5.389506861e-08,1.000000000e-02,2.932198617e+01,2.932198617e+01,2.128453488e+12,0.000000000e+00,-1.092435630e+05,5.508153130e+06
1.333449583e-06,1.304875825e-06,1.362023341e-06,5.714751669e-08,1.000000000e-02,2.931585400e+01,2.931585400e+01,2.013499719e+12,0.000000000e+00,-1.115892718e+05,5.622896501e+06
1.392491995e-06,1.362023341e-06,1.422960649e-06,6.093730790e-08,1.000000000e-02,2.930919379e+01,2.930919379e+01,1.898059312e+12,0.000000000e+00,-1.139529755e+05,5.738089037e+06
1.455669971e-06,1.422960649e-06,1.488379293e-06,6.541864423e-08,1.000000000e-02,2.930191679e+01,2.930191679e+01,1.781853248e+12,0.000000000e+00,-1.163414014e+05,5.853995426e+06
1.523772468e-06,1.488379293e-06,1.559165643e-06,7.078634983e-08,1.000000000e-02,2.929390858e+01,2.929390858e+01,1.664544440e+12,0.000000000e+00,-1.187628890e+05,5.970940104e+06
1.597826048e-06,1.559165643e-06,1.636486453e-06,7.732080984e-08,1.000000000e-02,2.928501936e+01,2.928501936e+01,1.545732482e+12,0.000000000e+00,-1.212275017e+05,6.089304576e+06
1.679191526e-06,1.636486453e-06,1.721896599e-06,8.541014544e-08,1.000000000e-02,2.927504925e+01,2.927504925e+01,1.424943863e+12,0.000000000e+00,-1.237474839e+05,6.209537816e+06
1.769709909e-06,1.721896599e-06,1.817523218e-06,9.562661992e-08,1.000000000e-02,2.926372572e+01,2.926372572e+01,1.301625719e+12,0.000000000e+00,-1.263377623e+05,6.332162174e+06
1.871919051e-06,1.817523218e-06,1.926314883e-06,1.087916640e-07,1.000000000e-02,2.925066959e+01,2.925066959e+01,1.175160688e+12,0.000000000e+00,-1.290164419e+05,6.457768804e+06
1.989346475e-06,1.926314883e-06,2.052378067e-06,1.260631842e-07,1.000000000e-02,2.923534723e+01,2.923534723e+01,1.044958812e+12,0.000000000e+00,-1.318043691e+05,6.586953102e+06
2.126811603e-06,2.052378067e-06,2.201245140e-06,1.488670728e-07,1.000000000e-02,2.921701619e+01,2.921701619e+01,9.107492573e+11,0.000000000e+00,-1.347218567e+05,6.720098504e+06
2.290389254e-06,2.201245140e-06,2.379533369e-06,1.782882300e-07,1.000000000e-02,2.919471176e+01,2.919471176e+01,7.733177067e+11,0.000000000e+00,-1.377770260e+05,6.856766765e+06
2.486032688e-06,2.379533369e-06,2.592532006e-06,2.129986365e-07,1.000000000e-02,2.916742356e+01,2.916742356e+01,6.359033178e+11,0.000000000e+00,-1.409350770e+05,6.994284568e+06
2.715813933e-06,2.592532006e-06,2.839095860e-06,2.465638542e-07,1.000000000e-02,2.913464643e+01,2.913464643e+01,5.053570911e+11,0.000000000e+00,-1.440746261e+05,7.126015340e+06
2.974255862e-06,2.839095860e-06,3.109415865e-06,2.703200044e-07,1.000000000e-02,2.909699592e+01,2.909699592e+01,3.902639719e+11,0.000000000e+00,-1.470029754e+05,7.242701396e+06
3.250447580e-06,3.109415865e-06,3.391479296e-06,2.820634311e-07,1.000000000e-02,2.905600522e+01,2.905600522e+01,2.960805789e+11,0.000000000e+00,-1.495700235e+05,7.338077126e+06
3.534621557e-06,3.391479296e-06,3.677763818e-06,2.862845220e-07,1.000000000e-02,2.901316329e+01,2.901316329e+01,2.228408115e+11,0.000000000e+00,-1.517469562e+05,7.411996937e+06
3.821497923e-06,3.677763818e-06,3.965232028e-06,2.874682102e-07,1.000000000e-02,2.896934470e+01,2.896934470e+01,1.672653211e+11,0.000000000e+00,-1.535877731e+05,7.467971526e+06
4.109102040e-06,3.965232028e-06,4.252972053e-06,2.877400253e-07,1.000000000e-02,2.892492888e+01,2.892492888e+01,1.254587705e+11,0.000000000e+00,-1.551657435e+05,7.510048506e+06
4.396868169e-06,4.252972053e-06,4.540764284e-06,2.877922313e-07,1.000000000e-02,2.888006671e+01,2.888006671e+01,9.408616909e+10,0.000000000e+00,-1.565453055e+05,7.541619563e+06
