r_m,dose_flux_open_m2_s,dose_flux_closed_m2_s
0.000000e+00,1.931852e+17,1.931852e+11
2.542373e-05,1.927953e+17,1.927953e+11
5.084746e-05,1.916306e+17,1.916306e+11
7.627119e-05,1.897050e+17,1.897050e+11
1.016949e-04,1.870416e+17,1.870416e+11
1.271186e-04,1.836720e+17,1.836720e+11
1.525424e-04,1.796361e+17,1.796361e+11
1.779661e-04,1.749805e+17,1.749805e+11
2.033898e-04,1.697583e+17,1.697583e+11
2.288136e-04,1.640281e+17,1.640281e+11
2.542373e-04,1.578523e+17,1.578523e+11
2.796610e-04,1.512966e+17,1.512966e+11
3.050847e-04,1.444285e+17,1.444285e+11
3.305085e-04,1.373163e+17,1.373163e+11
3.559322e-04,1.300280e+17,1.300280e+11
3.813559e-04,1.226302e+17,1.226302e+11
4.067797e-04,1.151869e+17,1.151869e+11
4.322034e-04,1.077593e+17,1.077593e+11
4.576271e-04,1.004042e+17,1.004042e+11
4.830508e-04,9.317389e+16,9.317389e+10
5.084746e-04,8.611569e+16,8.611569e+10
5.338983e-04,7.927129e+16,7.927129e+10
5.593220e-04,7.267668e+16,7.267668e+10
5.847458e-04,6.636205e+16,6.636205e+10
6.101695e-04,6.035177e+16,6.035177e+10
6.355932e-04,5.466456e+16,5.466456e+10
6.610169e-04,4.931365e+16,4.931365e+10
6.864407e-04,4.430717e+16,4.430717e+10
7.118644e-04,3.964847e+16,3.964847e+10
7.372881e-04,3.533657e+16,3.533657e+10
7.627119e-04,3.136664e+16,3.136664e+10
7.881356e-04,2.773046e+16,2.773046e+10
8.135593e-04,2.441696e+16,2.441696e+10
8.389831e-04,2.141271e+16,2.141271e+10
8.644068e-04,1.870240e+16,1.870240e+10
8.898305e-04,1.626929e+16,1.626929e+10
9.152542e-04,1.409566e+16,1.409566e+10
9.406780e-04,1.216320e+16,1.216320e+10
9.661017e-04,1.045335e+16,1.045335e+10
9.915254e-04,8.947649e+15,8.947649e+09
1.016949e-03,7.627951e+15,7.627951e+09
1.042373e-03,6.476679e+15,6.476679e+09
1.067797e-03,5.476995e+15,5.476995e+09
1.093220e-03,4.612941e+15,4.612941e+09
1.118644e-03,3.869537e+15,3.869537e+09
1.144068e-03,3.232851e+15,3.232851e+09
1.169492e-03,2.690035e+15,2.690035e+09
1.194915e-03,2.229336e+15,2.229336e+09
1.220339e-03,1.840089e+15,1.840089e+09
1.245763e-03,1.512682e+15,1.512682e+09
1.271186e-03,1.238517e+15,1.238517e+09
1.296610e-03,1.009955e+15,1.009955e+09
1.322034e-03,8.202522e+14,8.202522e+08
1.347458e-03,6.634961e+14,6.634961e+08
1.372881e-03,5.345335e+14,5.345335e+08
1.398305e-03,4.289009e+14,4.289009e+08
1.423729e-03,3.427556e+14,3.427556e+08
1.449153e-03,2.728084e+14,2.728084e+08
1.474576e-03,2.162601e+14,2.162601e+08
1.500000e-03,1.707421e+14,1.707421e+08
