phase,t_s,T_nv_probe_K,threshold_K,ready,live_species,label
MODE_B,0.000000000e+00,1.000000000e-02,5.000000e-02,false,C13_CH4,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B,4.166666667e-07,1.373015210e+01,5.000000e-02,false,C13_CH4,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B,8.333333333e-07,1.373015220e+01,5.000000e-02,false,C13_CH4,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B,1.250000000e-06,1.373015219e+01,5.000000e-02,false,C13_CH4,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B,1.666666667e-06,1.373015219e+01,5.000000e-02,false,C13_CH4,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B,2.083333333e-06,1.373015219e+01,5.000000e-02,false,C13_CH4,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B,2.500000000e-06,1.373015219e+01,5.000000e-02,false,C13_CH4,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B,2.916666667e-06,1.373015219e+01,5.000000e-02,false,C13_CH4,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B,3.333333333e-06,1.373015219e+01,5.000000e-02,false,C13_CH4,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B,3.750000000e-06,1.373015219e+01,5.000000e-02,false,C13_CH4,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B,4.166666667e-06,1.373015219e+01,5.000000e-02,false,C13_CH4,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B,4.583333333e-06,1.373015219e+01,5.000000e-02,false,C13_CH4,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_B,5.000000000e-06,1.373015219e+01,5.000000e-02,false,C13_CH4,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,0.000000000e+00,1.373015219e+01,5.000000e-02,false,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,8.333333333e-03,1.000003172e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,1.666666667e-02,1.000000107e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,2.500000000e-02,1.000000035e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,3.333333333e-02,9.999999964e-03,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,4.166666667e-02,9.999999965e-03,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,5.000000000e-02,1.000000001e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,5.833333333e-02,1.000000001e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,6.666666667e-02,1.000000000e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,7.500000000e-02,1.000000000e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,8.333333333e-02,1.000000000e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,9.166666667e-02,1.000000000e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,1.000000000e-01,1.000000000e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,1.083333333e-01,1.000000000e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,1.166666667e-01,1.000000000e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,1.250000000e-01,1.000000000e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,1.333333333e-01,1.000000000e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,1.416666667e-01,1.000000000e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,1.500000000e-01,1.000000000e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,1.583333333e-01,1.000000000e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,1.666666667e-01,1.000000000e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,1.750000000e-01,1.000000000e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,1.833333333e-01,1.000000000e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,1.916666667e-01,1.000000000e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_C,2.000000000e-01,1.000000000e-02,5.000000e-02,true,,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D,2.000000000e-01,1.000000000e-02,5.000000e-02,true,He3;He4,MODE_D_STARTED_AFTER_RECOVERY MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_HOLD,0.000000000e+00,1.000000000e-02,5.000000e-02,true,He3;He4,MODE_D_HOLD_UNDER_SENSING_LOADS MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_HOLD,6.250000000e-07,1.176822994e-02,5.000000e-02,true,He3;He4,MODE_D_HOLD_UNDER_SENSING_LOADS MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_HOLD,1.250000000e-06,1.351192438e-02,5.000000e-02,true,He3;He4,MODE_D_HOLD_UNDER_SENSING_LOADS MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_HOLD,1.875000000e-06,1.525178783e-02,5.000000e-02,true,He3;He4,MODE_D_HOLD_UNDER_SENSING_LOADS MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_HOLD,2.500000000e-06,1.698615880e-02,5.000000e-02,true,He3;He4,MODE_D_HOLD_UNDER_SENSING_LOADS MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_HOLD,3.125000000e-06,1.871297745e-02,5.000000e-02,true,He3;He4,MODE_D_HOLD_UNDER_SENSING_LOADS MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_HOLD,3.750000000e-06,2.042975501e-02,5.000000e-02,true,He3;He4,MODE_D_HOLD_UNDER_SENSING_LOADS MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_HOLD,4.375000000e-06,2.213356002e-02,5.000000e-02,true,He3;He4,MODE_D_HOLD_UNDER_SENSING_LOADS MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
MODE_D_HOLD,5.000000000e-06,2.382101594e-02,5.000000e-02,true,He3;He4,MODE_D_HOLD_UNDER_SENSING_LOADS MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
