parameter_id,name,symbol,unit,mode,value,min,max,distribution,sampled_yes_no,derived_yes_no,source_type,validation_status,gate_dependencies,risk_dependencies,category,notes
P0001,T_fridge,T_fridge,K,ABCD,0.01,,,lognormal,YES,NO,Oxford Triton 200,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-0.5mK
P0002,P_cool_MC,P_cool_MC,W,ABCD,0.0002,,,lognormal,YES,NO,Oxford Triton 200,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-20%
P0003,P_cool_4K,P_cool_4K,W,AB,1.5,,,lognormal,YES,NO,Oxford Triton 200,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-20%
P0004,T_4K_plate,T_4K_plate,K,ABCD,4.0,,,lognormal,YES,NO,Oxford Triton 200,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-0.1K
P0005,gamma_NV,gamma_NV,rad/s/T,D,176086268233.70792,,,lognormal,YES,NO,NIST,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=0.01%
P0006,gamma_He3,gamma_He3,rad/s/T,D,203788832.2530627,,,lognormal,YES,NO,NIST,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=0.01%
P0007,alpha_K_Ag,alpha_K_Ag,W/m2/K4,D,2000.0,,,lognormal,YES,NO,Pobell 2007 A6.2,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-20%
P0008,kappa_Kev_4K,kappa_Kev_4K,W/m/K,ABCD,0.04,,,lognormal,YES,NO,Rule 1996 Cryo.36:283,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-20%
P0009,kappa_G10_4K,kappa_G10_4K,W/m/K,ABCD,0.0048,,,lognormal,YES,NO,Runyan 2008 Cryo.48:448,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-20%
P0010,f_th_NV,f_th_NV,,D,0.544,,,lognormal,YES,NO,Doherty 2013,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-5%
P0011,eta_QY_NV,eta_QY_NV,,D,0.7,,,lognormal,YES,NO,Doherty 2013,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-10%
P0012,F_abl_diamond,F_abl_diamond,J/m2,D,10000.0,,,lognormal,YES,NO,Diamond lit.,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-50%
P0013,s_H2_Cu_4K,s_H2_Cu_4K,,B,0.3,,,lognormal,YES,NO,Benvenuti 1999,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-50%
P0014,G_sw_open,G_sw_open,W/K,AB,1e-08,,,lognormal,YES,NO,Al SC switch SC state; Pobell 2007,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=factor 10x
P0015,B_c_Al,B_c_Al,T,ACD,0.01,,,lognormal,YES,NO,Al critical field 10mK,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-1mT
P0016,P_H2_postbake,P_H2_postbake,Pa,B,5e-12,,,lognormal,YES,NO,CERN Outgassing 2020,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=order mag
P0017,G_eff,G_eff,W/K,D,1e-05,,,lognormal,YES,NO,Design; Kapitza; NOT MEASURED,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=factor 10x
P0018,G_eff_meas,G_eff_meas,W/K,D,,,,uniform,YES,NO,Step-response not done,BLOCKED,,,MEASURED_REQUIRED,from parameter_registry.csv; uncertainty=blocks PASS
P0019,A_sinter,A_sinter,m2,D,,,,uniform,YES,NO,45cm2 design; NOT FABRICATED,BLOCKED,,,MEASURED_REQUIRED,from parameter_registry.csv; uncertainty=blocks PASS
P0020,P_cond_wiring,P_cond_wiring,W,D,2.46e-09,,,lognormal,YES,NO,NbTi/Cu wiring; not measured,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-50%
P0021,eta_abs,eta_abs,,D,0.05,,,lognormal,YES,NO,NV absorption; NOT MEASURED,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=factor 3x
P0022,E_pulse,E_pulse,J,D,5e-11,,,lognormal,YES,NO,Design,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-20%
P0023,f_rep,f_rep,Hz,D,200.0,,,lognormal,YES,NO,Design,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-factor2
P0024,r_spot,r_spot,m,D,3.61e-07,,,lognormal,YES,NO,SRIM/NA estimate,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-50%
P0025,P_LCVD,P_LCVD,W,A,0.05,,,lognormal,YES,NO,Typical LCVD spot,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=factor 3x
P0026,P_mw,P_mw,W,D,1e-09,,,lognormal,YES,NO,Design; not measured in cryo,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-factor2
P0027,Z0_CPW,Z0_CPW,Ohm,D,50.0,,,lognormal,YES,NO,Design,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-1Ohm
P0028,w_CPW,w_CPW,m,D,5e-06,,,lognormal,YES,NO,Design,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-1um
P0029,d_NV,d_NV,m,D,1e-08,,,lognormal,YES,NO,SRIM estimate; not measured,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=factor 2x
P0030,T2s_bare,T2s_bare,s,D,1e-05,,,lognormal,YES,NO,Literature; NOT this sample,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=factor 3x
P0031,C_contr,C_contr,,D,0.1,,,lognormal,YES,NO,NOT measured in cryo,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=blocks PASS G23
P0032,eta_col,eta_col,,D,0.0635,,,lognormal,YES,NO,Free-space chain; not calibrated,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=factor 3x
P0033,dark_cps,dark_cps,cps,D,250.0,,,lognormal,YES,NO,Excelitas SPCM spec,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=+-50%
P0034,tau_c,tau_c,s,D,,,,uniform,YES,NO,PRIMARY BOTTLENECK; not measured,BLOCKED,,,MEASURED_REQUIRED,from parameter_registry.csv; uncertainty=blocks PASS
P0035,C_contr_10mK,C_contr_10mK,,D,,,,uniform,YES,NO,Gate 23; not measured,BLOCKED,,,MEASURED_REQUIRED,from parameter_registry.csv; uncertainty=blocks PASS
P0036,RGA_P_CH4,RGA_P_CH4,Pa,B,,,,uniform,YES,NO,RGA not performed,BLOCKED,,,MEASURED_REQUIRED,from parameter_registry.csv; uncertainty=blocks Mode B
P0037,RGA_P_H2,RGA_P_H2,Pa,B,,,,uniform,YES,NO,RGA not performed,BLOCKED,,,MEASURED_REQUIRED,from parameter_registry.csv; uncertainty=blocks Mode B
P0038,s_He,s_He,,D,1.0,,,lognormal,YES,NO,UNKNOWN for F-diamond; assume 1,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=blocks PASS
P0039,E_b_He_kB,E_b_He_kB,K,D,30.0,,,lognormal,YES,NO,He/graphite proxy; diamond unknown,CONDITIONAL,,,ASSUMED_UNCERTAIN,from parameter_registry.csv; uncertainty=factor 2x
