sequence,total_time_s,coherence_mc,coherence_filter_fn
ramsey,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00
ramsey,8.6956521739e-05,5.0283354703e-02,6.3690951139e-04
ramsey,1.7391304348e-04,4.3803477535e-02,1.8218870530e-13
ramsey,2.6086956522e-04,3.3982163664e-02,3.0610534480e-29
ramsey,3.4782608696e-04,6.7568592725e-02,4.2756472183e-51
ramsey,4.3478260870e-04,3.4238661982e-02,6.9862172592e-79
ramsey,5.2173913043e-04,3.0774959875e-02,1.7961327972e-112
ramsey,6.0869565217e-04,1.3481398619e-02,9.4497468080e-152
ramsey,6.9565217391e-04,3.8139966933e-02,1.3215713338e-196
ramsey,7.8260869565e-04,4.6396177438e-02,6.4925767140e-247
ramsey,8.6956521739e-04,2.0143596547e-02,1.4940138918e-302
ramsey,9.5652173913e-04,6.0381240250e-02,0.0000000000e+00
ramsey,1.0434782609e-03,5.9920312521e-02,0.0000000000e+00
ramsey,1.1304347826e-03,4.0442087682e-02,0.0000000000e+00
ramsey,1.2173913043e-03,7.4881066581e-02,0.0000000000e+00
ramsey,1.3043478261e-03,6.0827415279e-02,0.0000000000e+00
ramsey,1.3913043478e-03,6.1554198381e-02,0.0000000000e+00
ramsey,1.4782608696e-03,1.6917449506e-02,0.0000000000e+00
ramsey,1.5652173913e-03,6.0398482786e-02,0.0000000000e+00
ramsey,1.6521739130e-03,3.3923922876e-02,0.0000000000e+00
ramsey,1.7391304348e-03,6.1608685662e-02,0.0000000000e+00
ramsey,1.8260869565e-03,1.9702326719e-02,0.0000000000e+00
ramsey,1.9130434783e-03,1.1535391587e-02,0.0000000000e+00
ramsey,2.0000000000e-03,1.5149063004e-02,0.0000000000e+00
hahn,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00
hahn,3.4782608696e-04,3.7423993844e-01,2.5768191172e-01
hahn,6.9565217391e-04,1.3042494598e-02,2.5288137748e-06
hahn,1.0434782609e-03,7.2079743006e-02,4.3400160726e-19
hahn,1.3913043478e-03,4.7194941318e-02,6.2353270659e-43
hahn,1.7391304348e-03,2.0704211579e-02,9.5419637213e-81
hahn,2.0869565217e-03,5.8672393640e-03,9.2335851503e-135
hahn,2.4347826087e-03,3.0804982994e-02,4.1524166081e-207
hahn,2.7826086957e-03,1.1233307336e-01,1.5154692328e-299
hahn,3.1304347826e-03,7.0030102688e-02,0.0000000000e+00
hahn,3.4782608696e-03,6.4750715811e-02,0.0000000000e+00
hahn,3.8260869565e-03,7.0175064337e-02,0.0000000000e+00
hahn,4.1739130435e-03,5.2708843822e-02,0.0000000000e+00
hahn,4.5217391304e-03,6.8298922084e-02,0.0000000000e+00
hahn,4.8695652174e-03,5.3987164255e-03,0.0000000000e+00
hahn,5.2173913043e-03,3.6871757511e-02,0.0000000000e+00
hahn,5.5652173913e-03,7.3599735631e-02,0.0000000000e+00
hahn,5.9130434783e-03,5.6537694198e-02,0.0000000000e+00
hahn,6.2608695652e-03,5.9823841042e-02,0.0000000000e+00
hahn,6.6086956522e-03,3.2870257691e-02,0.0000000000e+00
hahn,6.9565217391e-03,7.5242103494e-02,0.0000000000e+00
hahn,7.3043478261e-03,4.9950245924e-03,0.0000000000e+00
hahn,7.6521739130e-03,1.2917397158e-02,0.0000000000e+00
hahn,8.0000000000e-03,5.3404755673e-02,0.0000000000e+00
xy8,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00
xy8,8.6956521739e-04,8.0658198224e-01,9.8885227972e-01
xy8,1.7391304348e-03,1.8523101491e-01,6.6939621713e-01
xy8,2.6086956522e-03,6.2855297646e-02,1.8283413079e-05
xy8,3.4782608696e-03,3.0952914377e-02,3.3484186280e-12
xy8,4.3478260870e-03,2.2912570869e-02,3.3913997824e-23
xy8,5.2173913043e-03,4.0431644206e-02,1.4455780649e-39
xy8,6.0869565217e-03,5.9824804478e-02,6.4739609138e-63
xy8,6.9565217391e-03,1.1744354327e-02,1.1759228085e-93
xy8,7.8260869565e-03,4.8849811872e-02,8.8300196605e-133
xy8,8.6956521739e-03,7.0108192706e-02,1.7388980293e-181
xy8,9.5652173913e-03,7.5857529508e-02,8.8953746918e-241
xy8,1.0434782609e-02,2.9030218069e-02,4.4116410903e-312
xy8,1.1304347826e-02,4.7963359561e-02,0.0000000000e+00
xy8,1.2173913043e-02,2.0499388309e-02,0.0000000000e+00
xy8,1.3043478261e-02,2.0689971533e-02,0.0000000000e+00
xy8,1.3913043478e-02,6.8615047277e-02,0.0000000000e+00
xy8,1.4782608696e-02,4.3482988860e-02,0.0000000000e+00
xy8,1.5652173913e-02,6.5771246894e-02,0.0000000000e+00
xy8,1.6521739130e-02,3.4579184440e-02,0.0000000000e+00
xy8,1.7391304348e-02,4.9585275601e-02,0.0000000000e+00
xy8,1.8260869565e-02,6.5669864457e-02,0.0000000000e+00
xy8,1.9130434783e-02,3.0078778405e-03,0.0000000000e+00
xy8,2.0000000000e-02,4.7905893727e-02,0.0000000000e+00
