frequency_Hz,odmr_signal
8.0250071365e+07,6.3146942576e-06
8.1250071365e+07,6.3777121461e-06
8.2250071365e+07,6.4416865922e-06
8.3250071365e+07,6.5066370667e-06
8.4250071365e+07,6.5725835379e-06
8.5250071365e+07,6.6395464877e-06
8.6250071365e+07,6.7075469271e-06
8.7250071365e+07,6.7766064128e-06
8.8250071365e+07,6.8467470644e-06
8.9250071365e+07,6.9179915821e-06
9.0250071365e+07,6.9903632649e-06
9.1250071365e+07,7.0638860299e-06
9.2250071365e+07,7.1385844318e-06
9.3250071365e+07,7.2144836839e-06
9.4250071365e+07,7.2916096787e-06
9.5250071365e+07,7.3699890106e-06
9.6250071365e+07,7.4496489986e-06
9.7250071365e+07,7.5306177102e-06
9.8250071365e+07,7.6129239859e-06
9.9250071365e+07,7.6965974652e-06
1.0025007136e+08,7.7816686131e-06
1.0125007136e+08,7.8681687482e-06
1.0225007136e+08,7.9561300709e-06
1.0325007136e+08,8.0455856940e-06
1.0425007136e+08,8.1365696736e-06
1.0525007136e+08,8.2291170416e-06
1.0625007136e+08,8.3232638394e-06
1.0725007136e+08,8.4190471531e-06
1.0825007136e+08,8.5165051498e-06
1.0925007136e+08,8.6156771162e-06
1.1025007136e+08,8.7166034975e-06
1.1125007136e+08,8.8193259391e-06
1.1225007136e+08,8.9238873296e-06
1.1325007136e+08,9.0303318455e-06
1.1425007136e+08,9.1387049978e-06
1.1525007136e+08,9.2490536807e-06
1.1625007136e+08,9.3614262226e-06
1.1725007136e+08,9.4758724387e-06
1.1825007136e+08,9.5924436866e-06
1.1925007136e+08,9.7111929235e-06
1.2025007136e+08,9.8321747669e-06
1.2125007136e+08,9.9554455570e-06
1.2225007136e+08,1.0081063423e-05
1.2325007136e+08,1.0209088350e-05
1.2425007136e+08,1.0339582252e-05
1.2525007136e+08,1.0472609049e-05
1.2625007136e+08,1.0608234740e-05
1.2725007136e+08,1.0746527489e-05
1.2825007136e+08,1.0887557710e-05
1.2925007136e+08,1.1031398155e-05
1.3025007136e+08,1.1178124010e-05
1.3125007136e+08,1.1327812993e-05
1.3225007136e+08,1.1480545455e-05
1.3325007136e+08,1.1636404489e-05
1.3425007136e+08,1.1795476045e-05
1.3525007136e+08,1.1957849046e-05
1.3625007136e+08,1.2123615513e-05
1.3725007136e+08,1.2292870696e-05
1.3825007136e+08,1.2465713210e-05
1.3925007136e+08,1.2642245180e-05
1.4025007136e+08,1.2822572392e-05
1.4125007136e+08,1.3006804447e-05
1.4225007136e+08,1.3195054937e-05
1.4325007136e+08,1.3387441609e-05
1.4425007136e+08,1.3584086559e-05
1.4525007136e+08,1.3785116419e-05
1.4625007136e+08,1.3990662565e-05
1.4725007136e+08,1.4200861330e-05
1.4825007136e+08,1.4415854229e-05
1.4925007136e+08,1.4635788201e-05
1.5025007136e+08,1.4860815856e-05
1.5125007136e+08,1.5091095744e-05
1.5225007136e+08,1.5326792630e-05
1.5325007136e+08,1.5568077791e-05
1.5425007136e+08,1.5815129331e-05
1.5525007136e+08,1.6068132501e-05
1.5625007136e+08,1.6327280056e-05
1.5725007136e+08,1.6592772616e-05
1.5825007136e+08,1.6864819055e-05
1.5925007136e+08,1.7143636918e-05
1.6025007136e+08,1.7429452846e-05
1.6125007136e+08,1.7722503046e-05
1.6225007136e+08,1.8023033775e-05
1.6325007136e+08,1.8331301858e-05
1.6425007136e+08,1.8647575235e-05
1.6525007136e+08,1.8972133550e-05
1.6625007136e+08,1.9305268762e-05
1.6725007136e+08,1.9647285805e-05
1.6825007136e+08,1.9998503286e-05
1.6925007136e+08,2.0359254231e-05
1.7025007136e+08,2.0729886866e-05
1.7125007136e+08,2.1110765466e-05
1.7225007136e+08,2.1502271248e-05
1.7325007136e+08,2.1904803324e-05
1.7425007136e+08,2.2318779719e-05
1.7525007136e+08,2.2744638458e-05
1.7625007136e+08,2.3182838726e-05
1.7725007136e+08,2.3633862103e-05
1.7825007136e+08,2.4098213891e-05
1.7925007136e+08,2.4576424530e-05
1.8025007136e+08,2.5069051110e-05
1.8125007136e+08,2.5576678998e-05
1.8225007136e+08,2.6099923579e-05
1.8325007136e+08,2.6639432116e-05
1.8425007136e+08,2.7195885760e-05
1.8525007136e+08,2.7770001696e-05
1.8625007136e+08,2.8362535456e-05
1.8725007136e+08,2.8974283409e-05
1.8825007136e+08,2.9606085436e-05
1.8925007136e+08,3.0258827812e-05
1.9025007136e+08,3.0933446323e-05
1.9125007136e+08,3.1630929614e-05
