slice,coord_m,Q_laser_W_m3
axis_r0_depth,4.166666667e-07,1.854998358e+19
axis_r0_depth,1.250000000e-06,8.061789632e+18
axis_r0_depth,2.083333333e-06,3.503639331e+18
axis_r0_depth,2.916666667e-06,1.522675377e+18
axis_r0_depth,3.750000000e-06,6.617519909e+17
axis_r0_depth,4.583333333e-06,2.875962297e+17
axis_r0_depth,5.416666667e-06,1.249888062e+17
axis_r0_depth,6.250000000e-06,5.431991126e+16
axis_r0_depth,7.083333333e-06,2.360733612e+16
axis_r0_depth,7.916666667e-06,1.025970599e+16
axis_r0_depth,8.750000000e-06,4.458849841e+15
axis_r0_depth,9.583333333e-06,1.937808153e+15
axis_r0_depth,1.041666667e-05,8.421679517e+14
axis_r0_depth,1.125000000e-05,3.660046831e+14
axis_r0_depth,1.208333333e-05,1.590649796e+14
axis_r0_depth,1.291666667e-05,6.912935515e+13
axis_r0_depth,1.375000000e-05,3.004349390e+13
axis_r0_depth,1.458333333e-05,1.305684863e+13
axis_r0_depth,1.541666667e-05,5.674483023e+12
axis_r0_depth,1.625000000e-05,2.466120156e+12
axis_r0_depth,1.708333333e-05,1.071771402e+12
axis_r0_depth,1.791666667e-05,4.657899311e+11
axis_r0_depth,1.875000000e-05,2.024314696e+11
axis_r0_depth,1.958333333e-05,8.797635403e+10
axis_r0_depth,2.041666667e-05,3.823436585e+10
axis_r0_depth,2.125000000e-05,1.661658690e+10
axis_r0_depth,2.208333333e-05,7.221538900e+09
axis_r0_depth,2.291666667e-05,3.138467868e+09
axis_r0_depth,2.375000000e-05,1.363972513e+09
axis_r0_depth,2.458333333e-05,5.927800106e+08
axis_r0_depth,2.541666667e-05,2.576211307e+08
axis_r0_depth,2.625000000e-05,1.119616819e+08
axis_r0_depth,2.708333333e-05,4.865834636e+07
axis_r0_depth,2.791666667e-05,2.114683016e+07
axis_r0_depth,2.875000000e-05,9.190374501e+06
axis_r0_depth,2.958333333e-05,3.994120294e+06
axis_r0_depth,3.041666667e-05,1.735837524e+06
axis_r0_depth,3.125000000e-05,7.543918783e+05
axis_r0_depth,3.208333333e-05,3.278573588e+05
axis_r0_depth,3.291666667e-05,1.424862208e+05
axis_r0_depth,3.375000000e-05,6.192425629e+04
axis_r0_depth,3.458333333e-05,2.691217085e+04
axis_r0_depth,3.541666667e-05,1.169598124e+04
axis_r0_depth,3.625000000e-05,5.083052493e+03
axis_r0_depth,3.708333333e-05,2.209085507e+03
axis_r0_depth,3.791666667e-05,9.600646038e+02
axis_r0_depth,3.875000000e-05,4.172423569e+02
axis_r0_depth,3.958333333e-05,1.813327808e+02
surface_z0_radial,5.000000000e-07,1.854998358e+19
surface_z0_radial,1.500000000e-06,1.580725329e+19
surface_z0_radial,2.500000000e-06,1.147842176e+19
surface_z0_radial,3.500000000e-06,7.102656748e+18
surface_z0_radial,4.500000000e-06,3.745177094e+18
surface_z0_radial,5.500000000e-06,1.682816544e+18
surface_z0_radial,6.500000000e-06,6.443384831e+17
surface_z0_radial,7.500000000e-06,2.102346279e+17
surface_z0_radial,8.500000000e-06,5.845306841e+16
surface_z0_radial,9.500000000e-06,1.384915449e+16
surface_z0_radial,1.050000000e-05,2.796096068e+15
surface_z0_radial,1.150000000e-05,4.810539673e+14
surface_z0_radial,1.250000000e-05,7.052586076e+13
surface_z0_radial,1.350000000e-05,8.810810751e+12
surface_z0_radial,1.450000000e-05,9.379857349e+11
surface_z0_radial,1.550000000e-05,8.509214608e+10
surface_z0_radial,1.650000000e-05,6.578026267e+09
surface_z0_radial,1.750000000e-05,4.333258649e+08
surface_z0_radial,1.850000000e-05,2.432464466e+07
surface_z0_radial,1.950000000e-05,1.163566689e+06
surface_z0_radial,2.050000000e-05,4.742954273e+04
surface_z0_radial,2.150000000e-05,1.647477448e+03
surface_z0_radial,2.250000000e-05,4.876440192e+01
surface_z0_radial,2.350000000e-05,1.229983282e+00
surface_z0_radial,2.450000000e-05,2.643677033e-02
surface_z0_radial,2.550000000e-05,4.842063388e-04
surface_z0_radial,2.650000000e-05,7.557278479e-06
surface_z0_radial,2.750000000e-05,1.005109237e-07
surface_z0_radial,2.850000000e-05,1.139131824e-09
surface_z0_radial,2.950000000e-05,1.100139072e-11
surface_z0_radial,3.050000000e-05,9.053866280e-14
surface_z0_radial,3.150000000e-05,6.349411083e-16
surface_z0_radial,3.250000000e-05,3.794422600e-18
surface_z0_radial,3.350000000e-05,1.932283449e-20
surface_z0_radial,3.450000000e-05,8.385111701e-23
surface_z0_radial,3.550000000e-05,3.100700032e-25
surface_z0_radial,3.650000000e-05,9.770651833e-28
surface_z0_radial,3.750000000e-05,2.623615603e-30
surface_z0_radial,3.850000000e-05,6.003295969e-33
surface_z0_radial,3.950000000e-05,1.170555980e-35
