z_m,Q_laser_W_m3
1.000000000e-07,2.597502685e+19
3.000000000e-07,2.126655329e+19
5.000000000e-07,1.741158119e+19
7.000000000e-07,1.425539698e+19
9.000000000e-07,1.167133191e+19
1.100000000e-06,9.555678361e+18
1.300000000e-06,7.823527741e+18
1.500000000e-06,6.405362759e+18
1.700000000e-06,5.244267475e+18
1.900000000e-06,4.293643059e+18
2.100000000e-06,3.515337616e+18
2.300000000e-06,2.878115013e+18
2.500000000e-06,2.356401272e+18
2.700000000e-06,1.929258188e+18
2.900000000e-06,1.579543009e+18
3.100000000e-06,1.293220438e+18
3.300000000e-06,1.058799343e+18
3.500000000e-06,8.668715832e+17
3.700000000e-06,7.097344241e+17
3.900000000e-06,5.810813996e+17
4.100000000e-06,4.757492119e+17
4.300000000e-06,3.895105105e+17
4.500000000e-06,3.189042336e+17
4.700000000e-06,2.610967033e+17
4.900000000e-06,2.137679005e+17
5.100000000e-06,1.750183542e+17
5.300000000e-06,1.432929089e+17
5.500000000e-06,1.173183112e+17
5.700000000e-06,9.605210932e+16
5.900000000e-06,7.864081579e+16
6.100000000e-06,6.438565434e+16
6.300000000e-06,5.271451526e+16
6.500000000e-06,4.315899478e+16
6.700000000e-06,3.533559630e+16
6.900000000e-06,2.893033937e+16
7.100000000e-06,2.368615854e+16
7.300000000e-06,1.939258642e+16
7.500000000e-06,1.587730688e+16
7.700000000e-06,1.299923942e+16
7.900000000e-06,1.064287708e+16
8.100000000e-06,8.713650766e+15
8.300000000e-06,7.134133854e+15
8.500000000e-06,5.840934783e+15
8.700000000e-06,4.782152933e+15
8.900000000e-06,3.915295672e+15
9.100000000e-06,3.205572974e+15
9.300000000e-06,2.624501175e+15
9.500000000e-06,2.148759824e+15
9.700000000e-06,1.759255749e+15
9.900000000e-06,1.440356784e+15
1.010000000e-05,1.179264394e+15
1.030000000e-05,9.655000258e+14
1.050000000e-05,7.904845632e+14
1.070000000e-05,6.471940217e+14
1.090000000e-05,5.298776488e+14
1.110000000e-05,4.338271264e+14
1.130000000e-05,3.551876099e+14
1.150000000e-05,2.908030194e+14
1.170000000e-05,2.380893750e+14
1.190000000e-05,1.949310933e+14
1.210000000e-05,1.595960808e+14
1.230000000e-05,1.306662195e+14
1.250000000e-05,1.069804523e+14
1.270000000e-05,8.758818624e+13
1.290000000e-05,7.171114168e+13
1.310000000e-05,5.871211703e+13
1.330000000e-05,4.806941579e+13
1.350000000e-05,3.935590899e+13
1.370000000e-05,3.222189301e+13
1.390000000e-05,2.638105473e+13
1.410000000e-05,2.159898080e+13
1.430000000e-05,1.768374982e+13
1.450000000e-05,1.447822981e+13
1.470000000e-05,1.185377199e+13
1.490000000e-05,9.705047670e+12
1.510000000e-05,7.945820988e+12
1.530000000e-05,6.505488001e+12
1.550000000e-05,5.326243090e+12
1.570000000e-05,4.360759016e+12
1.590000000e-05,3.570287514e+12
1.610000000e-05,2.923104185e+12
1.630000000e-05,2.393235290e+12
1.650000000e-05,1.959415332e+12
1.670000000e-05,1.604233590e+12
1.690000000e-05,1.313435375e+12
1.710000000e-05,1.075349934e+12
1.730000000e-05,8.804220612e+11
1.750000000e-05,7.208286172e+11
1.770000000e-05,5.901645566e+11
1.790000000e-05,4.831858719e+11
1.810000000e-05,3.955991328e+11
1.830000000e-05,3.238891759e+11
1.850000000e-05,2.651780289e+11
1.870000000e-05,2.171094073e+11
1.890000000e-05,1.777541485e+11
1.910000000e-05,1.455327879e+11
1.930000000e-05,1.191521690e+11
1.950000000e-05,9.755354508e+10
1.970000000e-05,7.987008743e+10
1.990000000e-05,6.539209683e+10
2.010000000e-05,5.353852068e+10
2.030000000e-05,4.383363336e+10
2.050000000e-05,3.588794365e+10
2.070000000e-05,2.938256313e+10
2.090000000e-05,2.405640804e+10
2.110000000e-05,1.969572107e+10
2.130000000e-05,1.612549254e+10
2.150000000e-05,1.320243665e+10
2.170000000e-05,1.080924090e+10
2.190000000e-05,8.849857945e+09
2.210000000e-05,7.245650860e+09
2.230000000e-05,5.932237185e+09
2.250000000e-05,4.856905018e+09
2.270000000e-05,3.976497503e+09
2.290000000e-05,3.255680795e+09
2.310000000e-05,2.665525989e+09
2.330000000e-05,2.182348101e+09
2.350000000e-05,1.786755504e+09
2.370000000e-05,1.462871679e+09
2.390000000e-05,1.197698032e+09
2.410000000e-05,9.805922114e+08
2.430000000e-05,8.028409997e+08
2.450000000e-05,6.573106163e+08
2.470000000e-05,5.381604159e+08
2.490000000e-05,4.406084826e+08
2.510000000e-05,3.607397148e+08
2.530000000e-05,2.953486983e+08
2.550000000e-05,2.418110622e+08
2.570000000e-05,1.979781531e+08
2.590000000e-05,1.620908023e+08
2.610000000e-05,1.327087247e+08
2.630000000e-05,1.086527141e+08
2.650000000e-05,8.895731843e+07
2.670000000e-05,7.283209231e+07
2.690000000e-05,5.962987379e+07
2.710000000e-05,4.882081147e+07
2.730000000e-05,3.997109974e+07
2.750000000e-05,3.272556859e+07
2.770000000e-05,2.679342942e+07
2.790000000e-05,2.193660465e+07
2.810000000e-05,1.796017284e+07
2.830000000e-05,1.470454584e+07
2.850000000e-05,1.203906389e+07
2.870000000e-05,9.856751842e+06
2.890000000e-05,8.070025858e+06
2.910000000e-05,6.607178348e+06
2.930000000e-05,5.409500105e+06
2.950000000e-05,4.428924095e+06
2.970000000e-05,3.626096359e+06
2.990000000e-05,2.968796603e+06
3.010000000e-05,2.430645078e+06
3.030000000e-05,1.990043876e+06
3.050000000e-05,1.629310121e+06
3.070000000e-05,1.333966302e+06
3.090000000e-05,1.092159235e+06
3.110000000e-05,8.941843532e+05
3.130000000e-05,7.320962288e+05
3.150000000e-05,5.993896968e+05
3.170000000e-05,4.907387778e+05
3.190000000e-05,4.017829291e+05
3.210000000e-05,3.289520401e+05
3.230000000e-05,2.693231516e+05
3.250000000e-05,2.205031467e+05
3.270000000e-05,1.805327073e+05
3.290000000e-05,1.478076794e+05
3.310000000e-05,1.210146927e+05
3.330000000e-05,9.907845049e+04
3.350000000e-05,8.111857438e+04
3.370000000e-05,6.641427149e+04
3.390000000e-05,5.437540651e+04
3.410000000e-05,4.451881752e+04
3.430000000e-05,3.644892500e+04
3.450000000e-05,2.984185581e+04
3.470000000e-05,2.443244508e+04
3.490000000e-05,2.000359416e+04
3.510000000e-05,1.637755771e+04
3.530000000e-05,1.340881016e+04
3.550000000e-05,1.097820524e+04
3.570000000e-05,8.988194243e+03
3.590000000e-05,7.358911042e+03
3.610000000e-05,6.024966779e+03
3.630000000e-05,4.932825588e+03
3.650000000e-05,4.038656009e+03
3.670000000e-05,3.306571875e+03
3.690000000e-05,2.707192082e+03
3.710000000e-05,2.216461412e+03
3.730000000e-05,1.814685121e+03
3.750000000e-05,1.485738516e+03
3.770000000e-05,1.216419814e+03
3.790000000e-05,9.959203101e+02
3.810000000e-05,8.153905855e+02
3.830000000e-05,6.675853481e+02
3.850000000e-05,5.465726548e+02
3.870000000e-05,4.474958413e+02
3.890000000e-05,3.663786071e+02
3.910000000e-05,2.999654329e+02
3.930000000e-05,2.455909248e+02
3.950000000e-05,2.010728428e+02
3.970000000e-05,1.646245200e+02
3.990000000e-05,1.347831573e+02
