r_m,theta_CH4,theta_H2,theta_He3,theta_He4
5.000000e-07,6.923986e-02,1.241327e-01,0.000000e+00,0.000000e+00
1.500000e-06,6.866033e-02,1.230590e-01,0.000000e+00,0.000000e+00
2.500000e-06,6.751281e-02,1.209351e-01,0.000000e+00,0.000000e+00
3.500000e-06,6.582029e-02,1.178072e-01,0.000000e+00,0.000000e+00
4.500000e-06,6.361690e-02,1.137438e-01,0.000000e+00,0.000000e+00
5.500000e-06,6.094749e-02,1.088338e-01,0.000000e+00,0.000000e+00
6.500000e-06,5.786681e-02,1.031843e-01,0.000000e+00,0.000000e+00
7.500000e-06,5.443835e-02,9.691798e-02,0.000000e+00,0.000000e+00
8.500000e-06,5.073280e-02,9.016948e-02,0.000000e+00,0.000000e+00
9.500000e-06,4.682594e-02,8.308091e-02,0.000000e+00,0.000000e+00
1.050000e-05,4.279625e-02,7.579726e-02,0.000000e+00,0.000000e+00
1.150000e-05,3.872219e-02,6.846127e-02,0.000000e+00,0.000000e+00
1.250000e-05,3.467933e-02,6.120841e-02,0.000000e+00,0.000000e+00
1.350000e-05,3.073763e-02,5.416219e-02,0.000000e+00,0.000000e+00
1.450000e-05,2.695896e-02,4.743012e-02,0.000000e+00,0.000000e+00
1.550000e-05,2.339517e-02,4.110075e-02,0.000000e+00,0.000000e+00
1.650000e-05,2.008673e-02,3.524180e-02,0.000000e+00,0.000000e+00
1.750000e-05,1.706220e-02,2.989953e-02,0.000000e+00,0.000000e+00
1.850000e-05,1.433828e-02,2.509941e-02,0.000000e+00,0.000000e+00
1.950000e-05,1.192062e-02,2.084770e-02,0.000000e+00,0.000000e+00
2.050000e-05,9.805095e-03,1.713398e-02,0.000000e+00,0.000000e+00
2.150000e-05,7.979478e-03,1.393408e-02,0.000000e+00,0.000000e+00
2.250000e-05,6.425240e-03,1.121340e-02,0.000000e+00,0.000000e+00
2.350000e-05,5.119435e-03,8.930090e-03,0.000000e+00,0.000000e+00
2.450000e-05,4.036448e-03,7.038117e-03,0.000000e+00,0.000000e+00
2.550000e-05,3.149550e-03,5.489862e-03,0.000000e+00,0.000000e+00
2.650000e-05,2.432180e-03,4.238305e-03,0.000000e+00,0.000000e+00
2.750000e-05,1.858940e-03,3.238688e-03,0.000000e+00,0.000000e+00
2.850000e-05,1.406307e-03,2.449688e-03,0.000000e+00,0.000000e+00
2.950000e-05,1.053076e-03,1.834144e-03,0.000000e+00,0.000000e+00
3.050000e-05,7.805881e-04,1.359414e-03,0.000000e+00,0.000000e+00
3.150000e-05,5.727717e-04,9.974197e-04,0.000000e+00,0.000000e+00
3.250000e-05,4.160555e-04,7.244733e-04,0.000000e+00,0.000000e+00
3.350000e-05,2.991860e-04,5.209472e-04,0.000000e+00,0.000000e+00
3.450000e-05,2.129905e-04,3.708504e-04,0.000000e+00,0.000000e+00
3.550000e-05,1.501118e-04,2.613625e-04,0.000000e+00,0.000000e+00
3.650000e-05,1.047395e-04,1.823608e-04,0.000000e+00,0.000000e+00
3.750000e-05,7.235210e-05,1.259700e-04,0.000000e+00,0.000000e+00
3.850000e-05,4.948120e-05,8.614945e-05,0.000000e+00,0.000000e+00
3.950000e-05,3.350272e-05,5.832970e-05,0.000000e+00,0.000000e+00
