x_m,y_m,z_m,T_surface_K,theta_He3,theta_He4,theta_C13_CH4_live,H2_role,dose_pressure_Pa,window_s,label
3.536778e-05,3.536778e-05,3.997250e-07,1.000000000e-02,1.205988450e-01,1.044416634e-01,0 (Mode B precursor structurally OFF in Mode D),residual_background_only,1.000e-06,1.000e+00,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3.536778e-05,2.188570e-05,3.997250e-07,1.000000000e-02,1.205988450e-01,1.044416634e-01,0 (Mode B precursor structurally OFF in Mode D),residual_background_only,1.000e-06,1.000e+00,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3.536778e-05,9.760753e-06,3.997250e-07,1.000000000e-02,1.205988450e-01,1.044416634e-01,0 (Mode B precursor structurally OFF in Mode D),residual_background_only,1.000e-06,1.000e+00,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3.536778e-05,4.753288e-06,3.997250e-07,1.000000000e-02,1.205988450e-01,1.044416634e-01,0 (Mode B precursor structurally OFF in Mode D),residual_background_only,1.000e-06,1.000e+00,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3.536778e-05,1.510451e-06,3.997250e-07,1.000000000e-02,1.205988450e-01,1.044416634e-01,0 (Mode B precursor structurally OFF in Mode D),residual_background_only,1.000e-06,1.000e+00,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3.536778e-05,-1.510451e-06,3.997250e-07,1.000000000e-02,1.205988450e-01,1.044416634e-01,0 (Mode B precursor structurally OFF in Mode D),residual_background_only,1.000e-06,1.000e+00,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3.536778e-05,-4.753288e-06,3.997250e-07,1.000000000e-02,1.205988450e-01,1.044416634e-01,0 (Mode B precursor structurally OFF in Mode D),residual_background_only,1.000e-06,1.000e+00,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3.536778e-05,-9.760753e-06,3.997250e-07,1.000000000e-02,1.205988450e-01,1.044416634e-01,0 (Mode B precursor structurally OFF in Mode D),residual_background_only,1.000e-06,1.000e+00,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3.536778e-05,-2.188570e-05,3.997250e-07,1.000000000e-02,1.205988450e-01,1.044416634e-01,0 (Mode B precursor structurally OFF in Mode D),residual_background_only,1.000e-06,1.000e+00,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3.536778e-05,-3.536778e-05,3.997250e-07,1.000000000e-02,1.205988450e-01,1.044416634e-01,0 (Mode B precursor structurally OFF in Mode D),residual_background_only,1.000e-06,1.000e+00,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
2.188570e-05,3.536778e-05,3.997250e-07,1.000000000e-02,1.205988450e-01,1.044416634e-01,0 (Mode B precursor structurally OFF in Mode D),residual_background_only,1.000e-06,1.000e+00,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
2.188570e-05,2.188570e-05,3.997250e-07,1.000000000e-02,1.205988450e-01,1.044416634e-01,0 (Mode B precursor structurally OFF in Mode D),residual_background_only,1.000e-06,1.000e+00,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
2.188570e-05,9.760753e-06,3.997250e-07,1.000000000e-02,1.205988450e-01,1.044416634e-01,0 (Mode B precursor structurally OFF in Mode D),residual_background_only,1.000e-06,1.000e+00,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
2.188570e-05,4.753288e-06,3.997250e-07,1.000000000e-02,1.205988450e-01,1.044416634e-01,0 (Mode B precursor structurally OFF in Mode D),residual_background_only,1.000e-06,1.000e+00,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
2.188570e-05,1.510451e-06,3.997250e-07,1.000000000e-02,1.205988450e-01,1.044416634e-01,0 (Mode B precursor structurally OFF in Mode D),residual_background_only,1.000e-06,1.000e+00,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
2.188570e-05,-1.510451e-06,3.997250e-07,1.000000000e-02,1.205988450e-01,1.044416634e-01,0 (Mode B precursor structurally OFF in Mode D),residual_background_only,1.000e-06,1.000e+00,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
-1.510451e-06,-1.510451e-06,3.997250e-07,1.000000000e-02,1.205988450e-01,1.044416634e-01,0 (Mode B precursor structurally OFF in Mode D),residual_background_only,1.000e-06,1.000e+00,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
