rank,x_m,y_m,z_m,T_peak_K,t_at_peak_s,T_final_K,label
1,-1.510451e-06,-1.510451e-06,3.997250e-07,1.373015220e+01,8.333333333e-07,1.373015219e+01,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
2,1.510451e-06,-1.510451e-06,3.997250e-07,1.373015220e+01,8.333333333e-07,1.373015219e+01,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3,-1.510451e-06,1.510451e-06,3.997250e-07,1.373015220e+01,8.333333333e-07,1.373015219e+01,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
4,1.510451e-06,1.510451e-06,3.997250e-07,1.373015220e+01,8.333333333e-07,1.373015219e+01,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
5,-1.510451e-06,-1.510451e-06,1.275981e-06,1.343264218e+01,8.333333333e-07,1.343264217e+01,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
6,1.510451e-06,-1.510451e-06,1.275981e-06,1.343264218e+01,8.333333333e-07,1.343264217e+01,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
7,-1.510451e-06,1.510451e-06,1.275981e-06,1.343264218e+01,8.333333333e-07,1.343264217e+01,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
8,1.510451e-06,1.510451e-06,1.275981e-06,1.343264218e+01,8.333333333e-07,1.343264217e+01,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
9,-1.510451e-06,-4.753288e-06,3.997250e-07,1.228352203e+01,8.333333333e-07,1.228352202e+01,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
10,1.510451e-06,-4.753288e-06,3.997250e-07,1.228352203e+01,8.333333333e-07,1.228352202e+01,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
