t_s,T_nv_probe_K,T_front_surface_max_K,probe_x_m,probe_y_m,probe_z_m,label
0.000000000e+00,1.000000000e-02,1.000000000e-02,-1.510451e-06,-1.510451e-06,3.997250e-07,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
4.166666667e-07,1.373015210e+01,1.373015210e+01,-1.510451e-06,-1.510451e-06,3.997250e-07,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
8.333333333e-07,1.373015220e+01,1.373015220e+01,-1.510451e-06,-1.510451e-06,3.997250e-07,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
1.250000000e-06,1.373015219e+01,1.373015219e+01,-1.510451e-06,-1.510451e-06,3.997250e-07,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
1.666666667e-06,1.373015219e+01,1.373015219e+01,-1.510451e-06,-1.510451e-06,3.997250e-07,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
2.083333333e-06,1.373015219e+01,1.373015219e+01,-1.510451e-06,-1.510451e-06,3.997250e-07,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
2.500000000e-06,1.373015219e+01,1.373015219e+01,-1.510451e-06,-1.510451e-06,3.997250e-07,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
2.916666667e-06,1.373015219e+01,1.373015219e+01,-1.510451e-06,-1.510451e-06,3.997250e-07,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3.333333333e-06,1.373015219e+01,1.373015219e+01,-1.510451e-06,-1.510451e-06,3.997250e-07,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
3.750000000e-06,1.373015219e+01,1.373015219e+01,-1.510451e-06,-1.510451e-06,3.997250e-07,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
4.166666667e-06,1.373015219e+01,1.373015219e+01,-1.510451e-06,-1.510451e-06,3.997250e-07,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
4.583333333e-06,1.373015219e+01,1.373015219e+01,-1.510451e-06,-1.510451e-06,3.997250e-07,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
5.000000000e-06,1.373015219e+01,1.373015219e+01,-1.510451e-06,-1.510451e-06,3.997250e-07,MODEL_ONLY FORECAST_ONLY NOT_MEASURED_IN_THIS_SYSTEM
